group	target	query	r2_truth	stripped_truth	truth_same	assessment_same
corpus	boxed_i16__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i32__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i32__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i32__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i32__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i32__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i32__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i32__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i32__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i32__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i32__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i32__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i32__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i32__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i32__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i32__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i32__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i32__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i32__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i32__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i32__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i32__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i32__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i32__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i32__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i32__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i32__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i32__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i32__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i32__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i64__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i64__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i64__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i64__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i64__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i64__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i64__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i64__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i64__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i64__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i64__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i64__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i64__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i64__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i64__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i64__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i64__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i64__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i64__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i64__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i64__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i64__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i64__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i64__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i64__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i64__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i64__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i64__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i64__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i8__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i8__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i8__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i8__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i8__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i8__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i8__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i8__df	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i8__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i8__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i8__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i8__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i8__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i8__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i8__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i8__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_i8__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_i8__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_i8__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_i8__uaf	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i8__uaf	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i8__uaf	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_i8__uaf	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_i8__uaf	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_i8__uaf	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_i8__uaf	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_i8__uaf	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_i8__uaf	use_after_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_i8__uaf	use_after_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_isize__df	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_isize__df	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_isize__df	double_free_alloc.cqpl	unk	unk	True	True
corpus	boxed_isize__df	double_free_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_isize__df	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_isize__df	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_isize__df	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_isize__df	mir_statement_presence.cqpl	tt	tt	True	True
