group	target	artifact	typed_edge_flow_v1	llvm_memory_effects_v1	svf_solved_points_to_v1	ffi_argument_identity_v1	external_deallocation_effects_v1	allocation_state_v1	typed_edges	normal_edges	unwind_edges
corpus	std_mem_forget_mem_leak_rust	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/std_mem_forget_mem_leak_rust/annotated_icfg_v2.json	1	0	0	0	1	1	4	4	0
corpus	struct_point_df_only_rust	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/struct_point_df_only_rust/annotated_icfg_v2.json	1	0	0	0	1	1	59	37	22
corpus	struct_point_mem_leak	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/struct_point_mem_leak/annotated_icfg_v2.json	1	0	0	0	1	1	43	29	14
corpus	uaf-df-mail-lillo	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/uaf-df-mail-lillo/annotated_icfg_v2.json	1	1	1	1	1	1	23	23	0
corpus	uaf_mem_leak_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/uaf_mem_leak_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	34	34	0
corpus	uaf_read_ptr	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/uaf_read_ptr/annotated_icfg_v2.json	1	0	0	0	1	1	9	9	0
corpus	unsafely-created-owned-type	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/unsafely-created-owned-type/annotated_icfg_v2.json	1	0	0	0	1	1	45	42	3
corpus	unsized_struct	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/unsized_struct/annotated_icfg_v2.json	1	0	0	0	1	1	56	47	9
corpus	vuln_only_mem_leak_but_df_branch_overapprox_FFI	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/vuln_only_mem_leak_but_df_branch_overapprox_FFI/annotated_icfg_v2.json	1	1	1	1	1	1	51	46	5
corpus	warning_ub_bool	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/warning_ub_bool/annotated_icfg_v2.json	1	1	1	1	1	1	17	17	0
corpus	warning_ub_int	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/warning_ub_int/annotated_icfg_v2.json	1	1	1	1	1	1	17	17	0
corpus	warning_ub_mult	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/warning_ub_mult/annotated_icfg_v2.json	1	1	1	1	1	1	52	52	0
corpus	warning_ub_string	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/warning_ub_string/annotated_icfg_v2.json	1	1	1	1	1	1	17	17	0
corpus	wasm-demo	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/wasm-demo/annotated_icfg_v2.json	1	0	0	0	1	1	12	12	0
corpus	whisper-rs-example	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/whisper-rs-example/annotated_icfg_v2.json	1	0	0	0	1	1	143	90	53
experimental	bmulti_clean_two_args_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/experimental/raw/bmulti_clean_two_args_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	22	22	0
experimental	bmulti_df_second_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/experimental/raw/bmulti_df_second_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	22	22	0
experimental	bmulti_leak_second_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/experimental/raw/bmulti_leak_second_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	18	18	0
experimental	bmulti_uaf_second_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/experimental/raw/bmulti_uaf_second_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	22	22	0
registry	unicode-ident-1.0.18	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/registry/unicode-ident-1.0.18/analysis/annotated_icfg_v2.json	1	0	0	0	1	1	36	36	0
registry	ryu-1.0.20	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/registry/ryu-1.0.20/analysis/annotated_icfg_v2.json	1	0	0	0	1	1	1208	1208	0
registry	memchr-2.7.4	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/registry/memchr-2.7.4/analysis/annotated_icfg_v2.json	1	0	0	0	1	1	4976	4833	143
