group	target	graph_sha256	schema	entry	nodes	reachable_nodes	unreachable_nodes	edges	variables	allocations	graph_validation	identity_sidecar	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	cstringcargo_df_ffi	5d14c5a6eb799d0cce1a992bd74db5dbb71f3262719bb1dc01806fdf89a1b724	2	rust::main::bb0	34	34	0	40	46	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	unk	tt	unk	unk
corpus	cstringcargo_enum_df_only_rust	0145e8349f6511d9647db527362c5fd84109ba43d4e16e9c678dbc4dde029f92	2	rust::main::bb0	34	34	0	55	87	2	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	unk	tt	unk	unk
corpus	df_rand_cargo_c_ffi	92a2237710a972fedc001542f1241d3f7e057484d1041e9da33e6e1dd97c55bc	2	rust::main::bb0	35	35	0	36	55	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	drop_raw_ptr_no_free	4128fbc987b05344d94cfeffdcb4a3016d7d83ff1b041d6f930f9635e0dc96d5	2	rust::main::bb0	7	7	0	6	16	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	explicit_drop_df_only_rust	482fc0aeadd7b445135ee5ef4038d6549e49094fe295f7b3c41f392602f5b4af	2	rust::main::bb0	7	7	0	6	10	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	ff	ff	tt	ff	ff
corpus	for_df_ffi	81caa971f0e7df80119a9db3d65045a0e003e89a3b1bc1c18dbef1458e68a0a1	2	rust::main::bb0	31	31	0	37	56	2	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	unk	tt	unk	unk
corpus	for_memory_leak_ffi	3303d19eddcc34139276f0d4354c5ca4468f57cbc775037d0df90fd9987270f2	2	rust::main::bb0	26	26	0	30	51	2	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	lock-free	89ec35174e29b003c7ce50bc879188d493b98fd0dbdcbf705fef2dd42e8e9ae7	2	rust::LockFreeStack::<T>::push::bb0	84	75	9	93	47	1	PASS	FAIL	ff	ff	ff	ff	unk	unk	tt	tt	ff	tt	ff	ff
corpus	lock_free_non_blocking_linked_list	148daf0977818676c8bc6f3b1ce53d62ee04cffbba180c0d258edaa534586119	2	rust::main::bb0	100	92	8	136	77	4	PASS	FAIL	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	napkin-math-test	9f7bccfb4d7e9f4e291593596a7aa0a0f62dc51616bd77ebe9598d34539b1cb0	2	rust::main::bb0	53	53	0	62	63	1	PASS	PASS	ff	ff	ff	ff	unk	unk	tt	tt	ff	tt	ff	ff
